Gene,Combined_Score,Clinical Trials,Hpa,Heatmap,Vital,Non Vital,Protein Vital,Protein Non Vital
PIGF,11.355427426142315,34.0,5.0,0.7289347472307104,0.0,0.0,0.0,0.0
ATRN,11.352510770782581,0.0,8.0,1.6389821306877397,15.25313375,16.0146058119658,3.7319804228664286,4.44991781218366
DTNB,11.340733984193072,19.0,7.0,1.414213051786093,18.29963125,6.86511251187085,4.390774435993202,4.118979043691303
SGCE,11.338532628081465,0.0,10.0,1.424716558814005,26.61121125,40.9363088651472,4.622268301369754,4.6512086641934
DYNC2H1,11.334157773212937,0.0,7.0,1.6975872969753116,2.3916514375,4.86118833594492,3.513914896369575,3.3835361541732265
SUMF1,11.333335203830226,22.0,0.0,2.35182841696365,3.258649375,10.3234921842355,3.5509869502152567,4.358779714407974
SNTB1,11.32709564227645,0.0,7.0,1.8791497944683548,4.078605625,11.971566994302,4.594037204154647,4.804970187654262
FER,11.324463711984844,25.0,7.0,1.2376396924197113,2.94873875,5.17151795584046,4.169037237162694,4.0446844060902345
CEACAM1,11.323447810900387,29.0,8.0,1.114081725728516,0.938062625,12.2951181918329,5.085424263550493,4.55343453515842
FARP1,11.315078576772716,0.0,7.0,1.89285522728834,4.07403175,6.18415899477683,4.952505187693441,4.546974099839368
APP,11.309554909576578,25.0,8.0,1.2567811488348308,306.5239375,240.499766619183,4.676234846464445,4.792423217016703
FBXL2,11.309005000837839,0.0,7.0,1.6828191770310588,8.287004375,5.7589179480057,3.546496860438461,3.3809658672873697
WDR83OS,11.307839950421213,24.0,5.0,1.1725505417207758,41.0236625,71.3970658119658,0.0,4.6307549907470005
CCDC144A,11.300964787796064,0.0,5.0,2.010697168976204,0.54400270625,0.775000380959164,3.727487993781064,3.514850854697731
CLSTN1,11.299854671845514,0.0,8.0,1.7043792431874472,146.5467125,83.3890162630579,4.508259865447869,4.220918630897704
ATP8B1,11.299688519430864,0.0,10.0,1.284865622422115,1.8078711875,15.0844147860874,3.991677723455716,3.9587909052596326
SGK3,11.293443793936333,0.0,0.0,2.865653666146556,7.18070875,6.3230288651472,4.2291675511074205,4.087804072379913
CAPN3,11.292400453163452,0.0,0.0,2.809317297064412,30.61853875,27.0915137796771,3.703371650956589,3.921377231435452
SUCLG2,11.290251953601931,0.0,7.0,2.0043678252582757,16.245005,44.6785579202279,5.670236495449092,5.511475900291424
UTRN,11.289512276994834,0.0,10.0,1.358868275318918,7.9091525,21.1103155698006,4.483214616498381,4.514706114538553
IL12RB2,11.28744450266398,0.0,7.0,1.343933778988928,0.3790304875,0.694934490883191,0.0,4.269443283093202
SEMA3C,11.28664961263733,0.0,7.0,1.744971537257033,4.4301665625,18.7970358530389,4.214971902405343,3.5791903066794584
ERBB2,11.2857548082475,35.0,10.0,0.5265573361811433,11.610739375,48.625204620133,4.1334712371680045,4.141867729502681
ULK4,11.28448407649317,0.0,5.0,1.6275314730811157,1.1704843125,3.60808773694207,0.0,3.787143791181436
UPF3A,11.277038829537963,0.0,7.0,1.713388983023301,43.02490625,40.9637301282051,3.8173905788407527,3.68518504157896
DIP2C,11.275940312643304,0.0,5.0,2.0408054871939267,12.230878125,15.7955103442545,4.125044297146011,3.598204986496562
CD46,11.268514234848515,32.0,7.0,1.1525820918365426,25.71403125,70.1610436847104,4.908752412946052,4.550159135600713
NCKAP5,11.265084587549937,0.0,7.0,1.600008319125634,1.449789375,0.718815702801519,3.160263011799854,3.2533344632967665
SPRED1,11.263008572995599,0.0,8.0,1.631151662099792,12.84307625,10.826070534188,4.471167540102846,4.189737583662136
EXOC7,11.261155756505172,0.0,10.0,1.369400727288369,37.65795625,49.5405146248813,4.579105420079256,4.7620816269553865
NF1,11.254600293481406,25.0,10.0,0.6979004649044573,0.0,0.0,4.125083025909217,3.7839747225422022
EXT1,11.254144745108395,24.0,5.0,1.446984162918738,4.22437625,14.0346114055081,3.824390634586335,3.3883603189315967
BMPR1A,11.249084373411431,0.0,8.0,1.440588704253171,3.644008125,9.71559539648623,3.0889985568797664,3.529531388302134
NNT,11.24638325607896,32.0,5.0,1.5903504460667004,19.287484375,19.1612962962963,5.961327082347435,5.33607138217545
PARVA,11.23234076934557,0.0,8.0,1.7737489882823962,15.83067625,60.4032817331434,5.238105410651555,5.7637189362895285
SMARCA4,11.226683246342072,33.0,0.0,2.105477753839886,30.7929625,35.5132412630579,4.313514073466997,4.225470532685567
FAM174B,11.222473466006818,0.0,8.0,1.1577473010183206,6.288735,9.77701177825261,0.0,4.602553256654862
PTPN4,11.221738933289663,0.0,10.0,1.121065244202975,5.514685,3.79814518518519,3.0249906078892472,3.8936432432394503
JPX,11.2191853195056,0.0,0.0,2.1550617967572885,1.330564125,1.50832287796771,0.0,0.0
