Gene,Malignant_Percent,NonMalignant_Percent,Z_Score
SERTAD2,25.37956081397308,35.02192735859665,-0.7575156781233069
CCNL1,50.8686373251961,62.2905656134038,-0.7589381247063187
POLR2K,23.567403635546736,33.115933880580236,-0.7591974863875093
CDH13,7.654866428290619,16.1250421679973,-0.7600882057358427
PAPPA,7.1597057116648255,15.596536601821656,-0.7601274338857159
PDCL,11.20991444671172,19.925784324749802,-0.7601498131693137
UBE2J1,27.177677518393022,37.04599122905656,-0.7630936598539027
ABCC1,28.305595596907352,38.27167435061284,-0.7641940787920527
EIF1AX,44.434356103862065,55.5268188462836,-0.7651120603857213
ARL5B,11.58526311848288,20.426177892724613,-0.7655627805669499
MT1G,6.5962146882078745,15.096143033846845,-0.7656843565897117
TBC1D10B,11.231443173521537,20.060721916113796,-0.766255856661195
PLK3,13.257951588445627,22.2365905768582,-0.7667986234971795
CDC14A,19.7146975681899,29.163386933543233,-0.7682097598562152
TOM1,24.5464926895932,34.33037220285618,-0.7683621375394687
SIRT1,12.405226800456784,21.359496232992242,-0.768669397080513
PRKAA1,20.615159967800516,30.13606207129203,-0.7687698387100916
MTPN,41.94638410992756,52.940515011807044,-0.7690849067432473
ZMAT2,20.516876649755698,30.046103677049363,-0.769592841949897
CD164,39.458412115993035,50.292364781288654,-0.7696838218494755
GTF2B,30.03350993129528,40.250759023951424,-0.7714115349151223
C11orf68,5.150045865548421,13.696165523445405,-0.7736316189510937
ARHGAP30,4.080161746260553,12.56044079613179,-0.77405498918294
IER2,36.5510979650673,47.27313617451929,-0.7744894517639903
RAB11FIP5,7.461107887002265,16.18688856403913,-0.7747594864947919
KDELR2,37.06872344010334,47.85224333745642,-0.7759008751956485
HIPK2,50.80217908156579,62.543573597211285,-0.7766155070389134
TMED7,19.695976936181363,29.309569324187564,-0.7772760378035892
FLII,18.29099350394069,27.814011019903294,-0.7776076737991295
CD109,27.34897130127113,37.50140559991004,-0.7779505508207958
FBN1,8.72381451597806,17.598110873720906,-0.7781226734423837
SNRPB2,32.256584982309,42.75272686382548,-0.7782830418654734
APRT,28.659415541868693,38.91262790959181,-0.7785303328172268
MGAT1,38.79944586929255,49.75261441583268,-0.7786605072958752
LIX1L,17.53561600239624,27.032497469920163,-0.7790167417331724
APLP2,44.949173484096825,56.358933993028224,-0.7804896595484272
KLF10,13.76247262107569,23.029348926121667,-0.7806295177443368
TGFB1I1,7.434899002190313,16.28246935792196,-0.7815018877779166
SAV1,16.672594866802704,26.18351512425503,-0.7830214626750998
ELF4,4.007151281427261,12.661643989654783,-0.7838329398724003
CERK,20.793005971881612,30.608343641066003,-0.7841648567718315
ARRDC3,23.068498792519236,33.04846508489823,-0.784606144681375
SESN2,8.889492109253608,17.896098054649727,-0.7847188351756275
UQCRFS1,29.680626017934365,40.13268863150793,-0.7855457594468903
PLEKHA7,13.287904599659283,22.613291352749354,-0.7856024818623801
PDCD5,29.876256622423575,40.36882941639492,-0.7870215397634015
FOXO3,48.26646947600951,60.024738558416736,-0.7870524106217436
FBLN2,3.897635584177322,12.60541999325312,-0.7871511880613156
ISCA1,20.808918509088866,30.687057236028338,-0.7875311494412791
PPP1R10,31.8203942565101,42.46598448217699,-0.7880729502344958
RBKS,9.489488365127206,18.638254807151693,-0.7902224303148563
HBEGF,7.399329801374094,16.406162150005624,-0.790323659851966
PCBP3,6.280772038864033,15.21421342629034,-0.7905178013741894
DGKA,9.415541868693488,18.570786011469696,-0.7908533268866279
HSPA1B,20.229514948424658,30.13043967165186,-0.7909486635672087
KLF3,26.34554542561357,36.68615765208591,-0.7919820830502667
AKAP13,66.88226594529831,80.01236927920836,-0.7920268690195327
SMAD7,7.750341651534155,16.827842123018105,-0.7928615236891832
RAP2C,9.244248085815379,18.42460362082537,-0.7928660921762258
PXDC1,17.66291630005429,27.42606544473181,-0.793064800129248
MGAT4A,12.609281689349833,22.028561790172045,-0.7932715070470834
PPP2R2D,25.87284946739802,36.219498481952094,-0.7940854048273625
ZNF217,17.11627384540502,26.8750702799955,-0.7948788554095798
CCDC59,20.263212086040024,30.248510064095356,-0.7954250486108466
LRRC59,25.55740681805418,35.910266501742946,-0.7956080518755981
AURKAIP1,31.008854858940037,41.74631732823569,-0.7961305434800255
CEBPG,14.535634723028249,24.148206454514785,-0.7965867563952851
CHMP2B,22.258831458150027,32.40751152591926,-0.7968486791113991
NPC2,33.93863376827602,44.894861126728884,-0.7970696594668767
TAF7,34.730516502237116,45.74384347239402,-0.7972127576678552
RNF145,55.32414774322781,67.77802766220623,-0.798513380895018
AGPAT4,9.006496059306961,18.278421230181042,-0.7987537937703806
CALR,54.419941217215495,66.83346452265828,-0.7997052134260474
USP15,51.344141378212925,63.54998313280108,-0.7999187374473995
