Gene,Combined_Score,Clinical Trials,Hpa,Heatmap,Vital,Non Vital,Protein Vital,Protein Non Vital
NPHP4,8.86363184835482,19.0,5.0,0.4641907770761604,5.43914875,7.74999092117759,0.0,3.154764773645896
FGFR1,8.856985529982254,32.0,8.0,-0.9087001933320068,34.80386875,66.520308665717,3.313467444335426,3.777131603511172
NF2,8.853826631062013,23.0,10.0,0.5382618524537066,17.332011875,11.8886190123457,4.163360226105959,4.206057407198973
PHEX,8.85329957503788,24.0,10.0,-0.1549304839946113,0.90423376875,0.490471011775878,4.008174194073216,3.7121904902448457
HFE,8.851414047334922,25.0,10.0,0.018307713231217,1.1085379375,4.81904243447293,4.149940491191071,4.193262906165586
ADRB2,8.850806795221269,22.0,10.0,-0.5339229113683877,2.22492475,6.55990024264008,3.3046331941406395,3.5315062339834933
BEST1,8.84389593277367,25.0,8.0,0.2110468810540667,13.1167975,9.34694991927825,2.9947414478668604,3.864845145913791
CLEC12A,8.840567842009332,31.0,8.0,-0.2108463371211887,1.10350556875,2.25442735237417,4.104744728947392,3.505875846302509
CDK7,8.839988557305,32.0,7.0,0.2166277547442339,11.476840625,21.3310275641026,3.61090608808428,4.161860940308026
RYR1,8.838151988949008,22.0,5.0,-0.210792938302327,6.3018955625,12.238107418566,0.0,3.315273012827155
RP2,8.837899106450019,32.0,10.0,-0.8890968949281397,3.0648625,7.19618162393162,4.547478656424738,4.730225285744769
CD160,8.832758601329301,17.0,7.0,-0.0765584259396198,0.23345860625,0.600378303276353,0.0,4.505123102100519
MMP17,8.82423171784712,0.0,7.0,1.3477999702169203,16.786679625,5.44239362962963,0.0,0.0
SCN8A,8.81133177963408,22.0,10.0,0.2940120781865952,7.888598325,1.00663094406458,4.298413546446874,3.4267810709201765
LONRF1,8.811163436787325,0.0,7.0,1.2924612270582196,9.838308125,21.3373057122507,0.0,0.0
CTTN,8.809292287046258,29.0,10.0,1.2209088132102428,81.420225,166.973864957265,5.48631762380088,5.230497987515059
ZP3,8.808200754366293,0.0,8.0,0.4672454219090015,1.2728085625,1.99146469468186,0.0,0.0
MELK,8.808159841754737,32.0,8.0,0.3637085324633238,0.11464213125,3.0909118625831,4.9593342292340274,3.585019901942884
ADAM9,8.802745701894933,31.0,8.0,-0.2393337632005715,15.733380625,33.5241691547958,3.887017207636111,4.043588862396189
RECK,8.801917016903149,21.0,10.0,0.0601456346607037,4.961410625,13.2003632573599,3.571546336722926,4.054675844546624
PIM1,8.801127615491076,24.0,7.0,-1.5705488756360115,15.686728125,67.1771648385565,0.0,4.678216407080783
TGFA,8.798926459906326,33.0,8.0,-0.2990968251785111,5.627066375,3.90405994824311,4.132484047072456,4.414484531499042
SSPN,8.797366977144378,34.0,8.0,-0.0602408160013886,6.965916875,13.1601321961064,4.567651192588415,4.427133770693014
SLC9A5,8.796283606277813,0.0,10.0,-0.0755258971327464,9.7691793125,3.71318034615385,0.0,1.9743430176101704
MERTK,8.79551932104582,22.0,10.0,-0.2673438981610009,8.403965,17.5905625593542,3.7007038492446696,3.623071149338408
SLC16A3,8.794729516423669,31.0,10.0,-1.2451181177302473,5.107399375,22.8623205792972,4.199340960754445,4.599802844096323
PTK7,8.789131807536744,32.0,7.0,1.229130452689721,5.00100575,23.8217047255461,4.542680776483526,4.661325505068339
MAST2,8.787983971903193,22.0,8.0,0.6396464849655714,18.204094375,40.5844168613485,3.18770803449326,3.374194191703421
CLCN5,8.783675101035556,20.0,10.0,0.615908959830052,2.1740041875,4.71346914624881,4.121085535155148,3.7699493688918833
DGAT2,8.780670438544835,23.0,5.0,-0.2349244906619007,4.4681410625,27.5998033722697,0.0,4.104037313919753
ADCY3,8.779899404055664,18.0,10.0,0.292960384755366,15.061564375,32.0324571842355,3.6700929229683545,3.1204429499096293
ESR2,8.77920178307519,33.0,0.0,0.7957661276535344,0.0,0.0,0.0,2.968596804763325
C11orf24,8.777945338632975,0.0,8.0,0.3979106235495063,12.334675625,27.7150071509972,0.0,0.0
SLC38A6,8.775258583163723,0.0,10.0,0.9253626313778792,0.0,0.0,0.0,4.092190495480526
GPR135,8.774205547544945,0.0,8.0,0.3376830413855325,1.6340815625,3.96788680626781,0.0,0.0
TMEM241,8.77031006650493,0.0,5.0,2.652676480972775,1.8644999375,2.70026767283951,0.0,0.0
BAMBI,8.768244263204153,19.0,5.0,0.928751588347303,0.0,0.0,0.0,4.785951980911249
PSEN2,8.76747338036288,34.0,5.0,0.6791971091417104,0.0,0.0,3.545085903857613,3.68124902555716
FANCL,8.756099552206132,32.0,0.0,1.673904884869417,11.784826875,16.1087701210826,0.0,4.311256413974331
HRH2,8.755707049497415,0.0,8.0,0.2810760401377574,7.0792141875,6.05855157716049,0.0,0.0
