Gene,Combined_Score,Clinical Trials,Hpa,Heatmap,Vital,Non Vital,Protein Vital,Protein Non Vital
SLC35A4,15.530720004687284,0.0,5.0,0.0218587254324231,26.26195,53.113185042735,0.0,0.0
LRRC37A,15.530326673881302,0.0,5.0,-0.2242623924507798,0.49420025,0.682172086419753,0.0,0.0
ZNF565,15.526456893962573,0.0,0.0,1.7173883119436069,2.293672375,2.76059092497626,0.0,0.0
TMEM42,15.524559495802725,0.0,5.0,-0.0145202525438878,29.656038125,32.1533309164292,0.0,0.0
ZBTB22,15.52314494324901,19.0,0.0,-0.300381783456939,14.131559375,21.4414953466287,0.0,0.0
ZDHHC16,15.521792826880434,0.0,5.0,-0.1486671339494719,13.28575125,18.8010622602089,0.0,0.0
SLC9A5,15.51974026604668,0.0,10.0,-0.0755258971327464,9.7691793125,3.71318034615385,0.0,1.9743430176101704
NOMO3,15.519328063051868,0.0,5.0,-0.2611685373997029,1.17869425,1.64956279107312,0.0,0.0
SLC38A11,15.51756073199894,0.0,5.0,-0.2583836696833554,2.615658,2.08404657359924,0.0,0.0
DPM2,15.513631364700178,0.0,5.0,-0.0205797478912275,32.84949375,42.4413965337132,0.0,0.0
SLC48A1,15.506532204688659,0.0,5.0,0.0335276516264354,49.2493375,29.6528167378917,0.0,0.0
NPIPB4,15.50107407304701,0.0,5.0,-0.3236166564700435,2.0711056875,3.45570822459639,0.0,0.0
TNFSF12,15.499919655333116,25.0,7.0,-0.368420522963826,43.508125,68.0291972934473,0.0,3.0047450294182227
RNF144B,15.499502617470062,0.0,5.0,-0.2895101911933095,6.150244375,12.6854988176638,0.0,0.0
WBP1,15.496775316227467,0.0,5.0,0.3577433741829939,88.5599,102.758617473884,0.0,0.0
TIMM23B,15.492271838062956,0.0,5.0,-0.3428020184594659,3.553898125,7.05298423789174,0.0,0.0
ATP10A,15.492071031808166,0.0,8.0,1.7454302440656102,4.221248375,6.15108690598291,0.0,3.102301088283122
TRAF3IP2-AS1,15.491197934437665,0.0,0.0,1.5824875308053497,2.6895961875,2.50351457454891,0.0,0.0
TMEM216,15.490427927482147,0.0,5.0,-0.3044163441290782,9.16652875,13.6518745299145,0.0,0.0
BIRC7,15.488692190334254,0.0,0.0,1.5569696440095608,0.31836790625,1.87305705508072,0.0,0.0
SPTSSA,15.48777423969346,0.0,5.0,-0.2175697793172653,19.2312125,35.1404021604938,0.0,0.0
RNF24,15.481358330861289,0.0,5.0,-0.3305803210687805,10.560320625,13.889324017094,0.0,0.0
ANKRD36,15.478934786257879,0.0,0.0,1.5346887722494882,2.3804164375,3.60218741358025,0.0,0.0
BRICD5,15.477208716501107,0.0,5.0,-0.2108342369334371,32.633338125,12.8506140598291,0.0,0.0
ATP6V0E2,15.474829661985684,0.0,5.0,0.5350122069370162,151.60779375,21.4590654795821,0.0,0.0
HAS3,15.464606510514583,23.0,8.0,-0.0444389559306511,1.0779808125,3.27801280769231,0.0,3.954804362948776
LINC00342,15.464160796507125,0.0,0.0,1.6514267994360687,23.89505375,28.6026418376068,0.0,0.0
NPIPB11,15.463708076819165,0.0,5.0,-0.4748819163345004,1.500314375,1.85303749050332,0.0,0.0
CLEC7A,15.461608811706416,19.0,8.0,-0.5873993451164286,5.562284875,8.01276382882241,0.0,2.9904455538031134
IL6R,15.459203233663908,25.0,8.0,-0.2007999234034999,4.8014925,16.6939237796771,0.0,3.9947624236276376
CD226,15.45899428171751,17.0,10.0,0.1661864051946688,0.335410825,1.48888392079772,0.0,4.289593120910891
GRK4,15.458698327376984,23.0,7.0,0.2007862705136137,5.132300625,4.30494051519468,0.0,3.814399966839921
FTX,15.445563563166536,2.0,0.0,1.218189664431526,6.022734375,11.3309205365622,0.0,0.0
LINC00662,15.44031316577508,0.0,0.0,1.379083731138526,1.8912084375,2.0176671320038,0.0,0.0
CRNDE,15.438225761571356,0.0,0.0,1.3723541090132974,1.57922230625,4.0903125531339,0.0,0.0
CREB3,15.436686549057189,0.0,7.0,-0.9377161210347092,51.96749375,67.0690035137702,0.0,0.0
TMLHE-AS1,15.436599626911725,0.0,0.0,1.3503950155087554,0.08379386875,0.144271118898386,0.0,0.0
CASC15,15.436092794235085,0.0,0.0,1.3584315853547322,1.47608475,0.974228905982906,0.0,0.0
ESR2,15.435826750575254,33.0,0.0,0.7957661276535344,0.0,0.0,0.0,2.968596804763325
LIPE-AS1,15.433520536887503,0.0,0.0,1.3451618764561644,0.9400519375,1.01258734188034,0.0,0.0
DEXI,15.429545912138284,0.0,5.0,-0.6080482029306411,1.2600811875,2.49301247578348,0.0,0.0
RNF122,15.428484122492753,0.0,5.0,-0.5325913001205203,9.737365625,19.1887627018044,0.0,0.0
FUT2,15.42829939038028,33.0,7.0,-0.0242991315928248,1.17998625,4.60821916263058,0.0,4.7941785820699705
LAT,15.423846504289026,25.0,10.0,-0.2096361573316493,10.15007,24.8455735375119,0.0,4.814289812974263
SPRED3,15.423488329881492,0.0,10.0,-0.2740395060227404,2.9595133125,1.22813566310541,0.0,2.185929156220954
MIR181A2HG,15.4228161458304,0.0,0.0,1.301512651253972,0.67163875,0.764283338081671,0.0,0.0
GAS2L3,15.421796386682255,0.0,0.0,1.299395909032127,0.38552291875,3.02699397516619,0.0,0.0
ST7L,15.414650079066474,0.0,5.0,0.8918555820422805,0.0,0.0,0.0,1.4975489140466198
MYCBP2-AS1,15.412769756194978,0.0,0.0,1.258320026752072,0.13985621875,0.230068377967711,0.0,0.0
CLEC2D,15.410459833681088,0.0,8.0,0.080104848914686,1.80036825,7.98553682193732,0.0,1.8274641943105987
IPO9-AS1,15.402317015789484,0.0,0.0,1.2197474596400346,0.3788384375,0.566799691120608,0.0,0.0
ENTPD1-AS1,15.395695937338406,0.0,0.0,1.1957994134363643,0.491072,1.23480566096866,0.0,0.0
ZNF75A,15.392947370341012,0.0,0.0,1.2464262978272904,7.8523575,10.8655657977208,0.0,0.0
TMEM158,15.390113460142882,0.0,5.0,-0.6227598203904211,21.816815,8.96432004273504,0.0,0.0
NPHP4,15.388305390421309,19.0,5.0,0.4641907770761604,5.43914875,7.74999092117759,0.0,3.154764773645896
